OldGenus,OldSpecies,NewGenus,NewSpecies
Acacia,saligna,Acacia,saligna
Adenandra,uniflora,Adenandra,uniflora
Adenandra,villosa,Adenandra,villosa
Adenocline,pauciflora,Adenocline,pauciflora
Agapanthus,africanus,Agapanthus,africanus
Agathelpis,dubia,Microdon,dubius
Agathosma,bifida,Agathosma,bifida
Agathosma,capensis,Agathosma,capensis
Agathosma,ciliaris,Agathosma,ciliaris
Agathosma,ciliata,Agathosma,ciliaris
Agathosma,hookeri,Agathosma,hookeri
Agathosma,imbricata,Agathosma,imbricata
Agathosma,lanceolata,Agathosma,lanceolata
Agathosma,serpyllacea,Agathosma,serpyllacea
Aizoon,paniculatum,Aizoon,paniculatum
Aizoon,sarmentosum,Aizoon,sarmentosum
Albuca,flaccida,Ornithogalum,flaccida
Alciope,tabularis,Capelio,tabularis
Amphithalea,ericifolia,Amphithalea,ericifolia
Anaxaeton,laeve,Anaxeton,laeve
Anaxeton,laeve,Anaxeton,laeve
Androcymbium,eucomoides,Colchicum,eucomoides
Anisodontea,scabrosa,Anisodontea,scabrosa
Annesorhiza,altiscapa,Annesorhiza,altiscapa
Anthochortus,capensis,Anthochortus,capensis
Anthochortus,laxiflorus,Anthochortus,laxiflorus
Anthospermum,aethiopicum,Anthospermum,aethiopicum
Anthospermum,bergianum,Anthospermum,bergianum
Anthospermum,galioides,Anthospermum,galioides
Apium,graveolens,Apium,graveolens
Arctotheca,calendula,Arctotheca,calendula
Arctotis,acaulis,Arctotis,acaulis
Arctotis,aspera,Arctotis,aspera
Arctotis,stoechadifolia,Arctotis,stoechadifolia
Argyrolobium,filiforme,Argyrolobium,filiforme
Aristea,africana,Aristea,africana
Aristea,glauca,Aristea,glauca
Aristea,major,Aristea,capitata
Aspalathus,abietina,Aspalathus,abietina
Aspalathus,argyrella,Aspalathus,argyrella
Aspalathus,callosa,Aspalathus,callosa
Aspalathus,capensis,Aspalathus,capensis
Aspalathus,carnosa,Aspalathus,carnosa
Aspalathus,chenopoda,Aspalathus,chenopoda
Aspalathus,ciliaris,Aspalathus,ciliaris
Aspalathus,divaricata,Aspalathus,divaricata
Aspalathus,ericifolia,Aspalathus,ericifolia
Aspalathus,hispida,Aspalathus,hispida
Aspalathus,laricifolia,Aspalathus,laricifolia
Aspalathus,linguiloba,Aspalathus,linguiloba
Aspalathus,microphylla,Aspalathus,microphylla
Aspalathus,retroflexa,Aspalathus,retroflexa
Aspalathus,sericea,Aspalathus,sericea
Aspalathus,serpens,Aspalathus,serpens
Asparagus,capensis,Asparagus,capensis
Asparagus,lignosus,Asparagus,lignosus
Asparagus (Protasparagus),lignosus (compactus),Asparagus,lignosus
Asparagus (Protasparagus),rubicundus,Asparagus,rubicundus
Authospermiun,galioides,Anthospermum,galioides
Authospermum,galioides,Anthospermum,galioides
Babiana,ambigua,Babiana,ambigua
Babiana,anibigua,Babiana,ambigua
Babiana,villosula,Babiana,villosula
Bassia,diffusa,Bassia,diffusa
Berkheya,barbata,Berkheya,barbata
